price,PoolArea,GarageCars,Fireplaces,TotRmsAbvGrd,Baths,SqFeet,CentralAir,Age,LotSize,BldgType,HouseStyle,condition
124.9,0,1,0,4,1,780,2,36,7200,1,3,7
158,0,2,0,5,2,1158,2,2,13072,1,3,5
101,0,1,0,6,1,1111,1,87,7200,1,5,7
202.5,0,2,1,6,2,1370,2,1,6442,5,3,5
140,0,2,0,9,2,1710,2,89,10300,1,6,6
219.5,0,2,0,8,3,2034,2,12,9375,1,6,5
317,0,3,1,9,3,2473,2,3,9591,1,6,5
180,0,2,1,7,2,2207,2,40,19900,1,3,5
226,0,2,0,7,2,1479,2,4,10665,1,3,5
225,0,2,1,7,2,2287,2,53,15593,1,1,4
244,0,2,2,8,2,2223,2,34,13651,1,3,6
144.9,0,2,0,6,1,1086,2,56,10200,1,3,7
107.4,0,1,0,8,2,1605,1,95,5790,1,6,6
91,0,1,0,5,1,988,2,36,1596,4,8,5
135.75,0,1,0,4,1,952,2,52,8475,1,3,7
127,0,1,0,6,1,1285,2,60,8635,1,1,5
110,0,2,0,5,2,1230,2,99,10440,1,6,6
193.5,0,1,1,8,3,2142,2,41,13000,1,6,6
153.5,0,2,0,5,2,1337,2,8,4500,5,3,5
245,0,3,1,6,2,1563,2,1,10206,1,3,5
126.5,0,2,0,6,2,1065,2,47,8892,1,3,5
168.5,0,2,1,7,3,1474,2,14,8530,1,8,5
260,0,2,1,9,3,2417,2,15,16059,1,6,5
174,0,2,1,6,3,1560,2,4,11911,1,6,5
164.5,0,2,0,4,3,1224,2,0,3951,5,6,5
85,0,0,0,6,1,1526,1,94,8470,1,1,2
109.9,0,2,0,4,1,1040,2,56,7200,1,3,5
163.5,0,2,0,5,1,964,2,88,13360,1,3,7
133.9,0,2,1,9,2,2291,1,97,7200,2,5,6
204.75,0,2,0,7,3,1786,2,10,9337,1,6,5
185,0,2,1,6,3,1470,2,16,9765,1,6,8
214,0,2,0,6,2,1588,2,7,10264,1,3,5
94.75,0,1,0,6,1,960,2,42,10921,1,3,5
205,0,2,2,6,2,1610,2,33,10603,1,3,7
178,0,2,1,7,3,1732,2,25,9206,1,6,5
118.964,0,2,0,8,2,1535,2,30,7018,3,3,5
198.9,0,3,0,6,2,1226,2,1,10402,1,3,5
169.5,0,1,2,7,2,1818,2,76,7758,1,1,4
250,0,2,1,9,3,1992,2,5,9375,1,6,5
100,0,1,0,6,1,1047,2,122,10800,1,3,7
115,0,1,0,5,1,789,2,60,6000,1,3,5
115,0,0,0,7,2,1517,1,88,8500,1,1,7
190,0,2,1,7,2,1844,2,33,11751,1,3,6
136.9,0,1,0,7,2,1855,2,52,9525,1,1,4
180,0,2,1,7,3,1430,2,10,7750,1,8,5
383.97,0,3,1,10,3,2696,2,0,9965,1,6,5
217,0,2,2,7,2,2259,2,54,21000,1,3,5
259.5,0,1,1,9,3,2320,2,62,7259,1,6,8
176,0,2,1,5,3,1458,2,8,3230,5,6,5
139,0,1,1,6,1,1092,2,47,11616,1,3,5
163.99,0,2,1,8,3,1456,2,1,8461,1,6,5
180,0,2,2,4,1,988,2,37,21453,1,8,5
100,0,1,0,4,1,1123,2,68,6060,1,1,5
136,0,1,0,5,1,1080,2,50,9464,1,3,7
153.9,0,2,0,5,2,1199,2,15,7892,5,3,5
84.5,0,0,0,5,1,754,1,71,6780,2,1,8
155,0,2,1,6,2,1348,2,40,7590,1,6,5
226,0,2,2,8,3,2157,2,40,14200,1,6,6
244,0,2,1,7,3,2054,2,9,12224,1,6,5
150.75,0,2,0,7,1,1327,2,48,7388,1,3,6
220,0,2,0,6,2,1296,2,8,6853,1,3,5
180,0,2,1,7,3,1721,2,38,10335,1,3,6
174,0,2,1,7,2,1682,2,38,10400,1,3,6
143,0,1,1,5,2,1214,2,40,10355,1,3,5
171,0,3,0,9,3,1959,2,18,11070,3,3,5
230,0,3,2,7,3,1852,2,9,9066,1,6,5
231.5,0,2,0,7,3,1764,2,12,15426,1,6,5
115,0,0,1,5,1,864,2,39,10500,1,3,5
260,0,2,0,7,2,1734,2,1,11645,1,3,5
166,0,2,0,6,2,1385,2,58,8520,1,1,4
204,0,2,0,6,2,1501,2,10,10335,1,3,5
125,0,2,0,10,2,1728,2,43,9100,3,3,5
105,0,1,0,5,1,875,2,78,6120,1,3,7
141,0,0,0,6,1,1080,2,4,7500,1,3,5
115,0,1,0,7,1,1344,2,70,6240,1,1,4
122,0,2,0,5,2,969,2,32,10356,1,3,6
372.402,0,3,1,6,2,1710,2,1,13891,1,3,5
190,0,2,1,8,3,1993,2,35,14803,1,6,5
235,0,2,1,4,1,1252,2,48,13500,1,3,7
79,0,0,0,5,1,1096,1,84,9600,1,1,5
109.5,0,2,0,5,1,1040,2,56,7200,1,3,7
269.5,0,3,1,8,3,1968,2,1,12003,1,6,5
254.9,0,2,1,8,3,1947,2,6,12552,1,6,5
320,0,2,1,9,3,2462,2,1,19378,1,6,5
162.5,0,2,0,6,2,1232,2,24,11120,1,3,6
412.5,0,3,2,10,3,2668,2,5,13688,1,6,5
220,0,2,1,7,2,1541,2,5,12182,1,3,5
103.2,0,0,0,4,1,882,2,51,5500,1,2,6
152,0,1,0,5,2,1616,2,81,5400,1,3,7
127.5,0,0,0,6,2,1355,2,68,10106,2,1,7
190,0,1,3,7,1,1867,2,54,10708,1,3,5
325.624,0,3,1,8,2,2161,2,0,10562,1,6,5
183.5,0,2,1,7,3,1720,2,3,8244,1,6,5
228,0,2,1,6,3,1707,2,25,16669,1,3,6
128.5,0,2,0,7,2,1382,2,66,12358,1,1,6
215,0,2,2,7,1,1656,2,50,31770,1,3,5
239,0,2,1,5,2,1767,2,19,5306,5,6,7
163,0,2,1,6,2,1362,2,47,10197,1,3,5
184,0,2,1,7,2,1651,2,22,12416,1,3,5
211,0,2,1,8,3,2060,2,19,10029,1,6,5
172.5,0,2,1,8,2,1920,2,48,13650,1,1,5
501.837,0,3,1,9,2,2234,2,1,17423,1,3,5
100,0,2,0,5,1,968,2,84,8520,1,3,6
177,0,2,1,5,3,1525,2,7,2117,4,6,5
200.1,0,1,1,9,2,1802,2,86,7588,1,6,6
200,0,2,0,6,3,2082,2,5,11426,1,1,5
475,0,3,2,12,3,3608,2,114,22950,1,4,9
173,0,2,0,6,2,1217,2,19,9947,1,8,5
286,0,2,1,5,2,1593,2,7,4923,5,3,5
315,0,2,2,10,3,2727,2,75,10570,1,6,8
184,0,2,0,7,2,1479,2,35,7472,1,6,9
192,0,2,0,6,2,1431,2,10,9017,1,3,5
130,0,2,0,7,2,1709,2,2,2522,4,6,5
127,0,1,0,5,1,864,2,36,7180,1,3,7
148.5,0,2,1,7,3,1456,2,33,2280,4,6,6
311.872,0,3,1,8,2,1726,2,0,9416,1,3,5
235,512,2,1,8,2,3112,2,88,25419,1,6,4
104,0,0,0,8,1,2229,2,97,5520,1,4,6
274.9,0,3,1,7,2,1713,2,5,9591,1,3,5
140,0,2,0,5,2,1121,2,7,8546,1,3,5
171.5,0,2,2,6,2,1279,2,31,10125,1,3,6
112,0,1,0,6,2,1310,2,82,7000,1,1,6
149,0,2,1,3,1,848,2,4,4438,5,3,5
110,0,1,0,5,2,1284,2,62,3500,1,1,7
141,0,1,1,6,1,1100,2,48,12493,1,3,5
277,0,2,1,7,3,2062,2,19,14364,1,6,5
145,0,2,0,6,1,1092,2,44,8250,1,3,7
98,0,0,0,5,1,864,1,83,5604,1,3,6
161.75,0,1,0,6,2,1392,2,33,10900,1,6,7
134.45,0,1,1,6,1,1236,2,49,10011,1,3,6
210,0,2,0,8,2,1436,2,4,8450,1,3,5
107,0,1,0,8,1,1328,1,81,9906,1,6,4
311.5,0,2,2,8,2,1954,2,69,15660,1,1,9
167.24,0,2,0,5,2,1248,2,1,3010,5,3,5
204.9,0,2,0,5,2,1498,2,0,8990,1,3,5
200,0,2,1,8,3,2267,2,7,8068,1,6,5
179.9,0,2,1,6,3,1552,2,31,11475,1,6,6
386.25,0,3,1,8,2,2392,2,6,13472,1,3,5
112,0,1,0,6,3,1302,2,38,1680,4,6,5
125,0,1,1,5,1,912,2,43,8521,1,3,5
192.5,0,2,1,7,2,1555,2,4,3182,5,3,5
403,0,3,1,9,3,2794,2,14,15138,1,6,5
94.5,0,1,1,5,2,987,2,34,1680,4,6,5
89.5,0,1,0,5,2,987,2,37,1680,5,6,3
185.5,0,2,0,6,2,1414,2,6,8773,1,3,5
194.5,0,2,0,7,3,1744,2,17,9453,1,6,7
262.5,0,2,0,7,2,1566,2,2,9000,1,3,5
110.5,0,0,0,4,1,866,2,62,3880,1,3,9
120,0,1,1,6,2,1217,2,29,10762,5,6,6
205,0,2,2,8,3,2110,2,16,8880,1,6,5
241.5,0,2,1,6,2,1872,2,18,10400,1,3,5
137,0,1,0,9,2,1928,1,96,9142,2,6,8
180,0,2,0,8,3,1668,2,4,11317,1,6,5
277,0,2,2,7,2,2144,2,49,159000,1,1,7
76.5,0,0,0,6,1,1306,2,70,5350,1,3,2
235,0,2,1,5,2,1625,2,1,4750,5,3,5
173,0,2,0,6,3,1640,2,4,8366,1,6,5
158,0,1,0,7,2,1302,2,43,9350,1,8,7
145,0,1,0,5,1,1314,2,53,8400,1,3,6
230,0,2,1,8,3,2291,2,7,8738,1,6,5
207.5,0,2,0,7,3,1728,2,5,8791,1,6,5
220,0,2,1,8,3,1604,2,3,8814,1,3,5
231.5,0,2,1,7,3,1792,2,7,12435,1,6,5
151,0,2,1,6,1,1212,2,29,8471,1,8,7
130,0,2,0,6,1,1316,2,81,5500,1,1,7
175.5,0,2,1,7,2,1422,2,27,12090,1,3,6
185,0,2,1,8,3,1511,2,9,11207,1,6,5
179.5,0,1,1,8,3,2192,2,69,8400,1,4,8
148,0,1,1,6,2,1113,2,31,7917,1,3,7
266,0,3,1,8,3,1939,2,0,10728,1,6,5
290,0,3,1,9,3,2270,2,11,11764,1,6,7
124.5,0,1,0,5,1,816,2,25,8314,1,3,7
205,0,2,0,5,3,1548,1,84,7264,1,1,7
201,0,2,0,7,2,1560,2,7,9196,1,3,5
141,0,2,0,4,1,864,2,59,19138,1,3,5
415.298,0,3,1,8,3,2121,2,1,14450,1,3,5
192,0,2,1,8,3,2022,2,31,10005,1,6,5
185,0,2,0,5,2,1262,2,0,7200,1,3,5
207.5,0,2,1,6,2,1314,2,2,5063,4,3,5
244.6,0,3,1,6,2,1468,2,1,9612,1,3,5
179.2,0,2,0,5,2,1575,2,15,8012,5,3,5
164.7,0,2,0,5,3,1250,2,1,4251,5,6,5
88,0,0,0,5,1,858,2,35,8125,1,3,4
122,0,1,0,5,1,900,2,43,9819,1,3,5
153.575,0,1,0,7,1,1396,2,92,8730,1,6,7
233.23,0,2,1,8,3,1919,2,0,15611,1,6,5
135.9,0,0,0,9,2,1716,1,96,5687,2,6,6
131,0,1,1,8,2,1716,2,60,11409,1,1,4
235,0,2,1,9,3,2263,2,29,16659,1,6,7
142.5,0,2,0,6,1,1003,2,22,7937,1,8,6
152,0,1,0,6,2,1558,2,57,13710,1,1,5
239,0,2,1,7,3,1950,2,10,7399,1,6,5
158.5,0,1,1,6,1,1152,2,59,14000,1,3,8
157,0,1,2,5,1,1336,2,53,15750,2,3,5
267,0,2,1,9,3,2452,2,9,16226,1,6,5
205,0,3,1,6,2,1541,2,5,13704,1,3,5
149.9,0,2,0,5,1,894,2,34,9800,1,3,7
295,0,3,1,10,3,3493,2,128,18386,1,4,9
305.9,0,3,0,8,2,2000,2,3,10386,1,3,5
225,0,3,1,8,3,2243,2,17,13474,1,6,5
89.5,0,0,0,6,1,1406,2,88,7920,1,1,7
82.5,0,2,0,4,1,861,2,69,12342,1,3,5
360,0,3,3,8,2,1944,2,3,12378,1,3,5
165.6,0,2,1,6,3,1501,2,13,7685,1,6,5
132,0,1,1,5,1,972,2,61,8000,1,3,6
375,0,2,2,8,2,2036,2,44,215245,1,3,5
178,0,2,1,6,2,1641,2,81,9600,1,6,7
188.5,0,2,1,6,3,1432,2,5,7795,1,6,5
270,0,3,1,8,3,1959,2,1,9000,1,6,5
187.5,0,2,2,6,2,1472,2,29,14115,1,8,5
342.643,0,3,0,9,4,2596,2,0,16259,1,6,5
354,0,3,1,10,3,2468,2,3,12099,1,6,5
301,0,2,1,8,3,2730,2,21,10380,1,6,5
126.175,0,1,0,6,1,1163,2,51,5820,1,3,8
87,0,2,0,5,1,803,1,66,5000,1,2,6
324,0,2,2,6,2,1719,2,15,10846,5,3,5
145.25,0,1,0,7,2,1383,2,46,11600,1,3,5
78,0,1,0,6,1,1192,1,89,6402,1,6,5
119,0,1,0,10,2,1728,2,43,10624,3,3,4
139,0,1,0,6,1,1056,2,49,8176,1,3,6
192,0,2,2,7,3,1638,2,10,9042,1,6,5
228.95,0,2,2,7,2,1786,2,43,164660,2,1,6
377.426,0,3,1,8,2,1922,2,2,14157,1,3,5
214,0,2,0,7,2,1536,2,6,9135,1,3,5
155,0,1,0,6,1,1215,2,51,12400,1,3,7
202.9,0,2,0,9,3,1908,2,8,14191,1,6,5
82,0,1,0,4,1,841,2,59,8400,1,3,4
266,0,2,1,6,2,1684,2,3,8849,5,3,5
140.2,0,1,1,6,1,1577,2,67,6435,1,1,5
151.5,0,1,0,5,1,958,2,47,12772,1,3,8
157.5,0,2,2,6,2,1478,2,49,17600,1,3,5
154,0,2,0,6,3,1626,2,5,2448,4,6,5
437.154,0,3,2,10,3,2728,2,1,20431,1,6,5
318.061,0,2,1,6,2,1869,2,0,7820,5,3,5
190,0,2,1,6,2,1453,2,20,5271,1,3,5
95,0,1,0,5,1,1111,1,67,9084,1,1,6
105.9,0,2,0,5,1,720,2,82,8520,1,3,8
140,0,1,2,6,1,1595,2,66,8400,1,1,5
177.5,0,2,0,6,2,1200,2,12,11249,1,3,5
173,0,2,0,6,2,1167,2,17,9248,1,3,6
130,0,1,0,6,1,1352,2,48,6930,1,8,4
280,0,2,1,7,3,1924,2,8,12011,1,6,5
145,0,1,0,8,1,1505,2,68,9144,1,1,5
118,0,1,0,5,2,987,2,37,1680,4,6,8
147,0,1,0,6,1,1344,2,89,10690,1,6,7
159,0,2,2,6,2,1394,2,46,9500,1,3,5
165,0,1,1,6,1,1431,2,46,9150,1,8,5
132,0,1,1,7,1,1268,2,56,7800,1,3,6
162,0,2,1,7,1,1287,2,51,9830,1,3,7
172.4,0,2,1,7,3,1664,2,6,8121,1,6,5
134.432,0,2,1,7,2,1588,2,49,17120,1,1,4
125,0,1,0,4,1,752,2,26,7175,5,3,5
219.5,0,2,1,8,3,1928,2,4,8200,1,6,5
61,0,0,0,4,1,904,1,87,10020,1,3,1
148,0,2,0,5,1,914,2,10,8846,1,7,5
340,0,2,1,8,3,2466,2,3,11143,1,6,5
394.432,0,3,1,8,2,1856,2,0,11394,1,3,2
187.75,0,2,1,5,2,1301,2,0,7200,1,3,5
213.5,0,2,0,8,3,1797,2,1,9245,1,6,5
76,0,2,0,5,1,784,1,81,9000,1,2,3
192,0,2,1,6,2,1269,2,6,3182,5,3,5
125,0,1,1,6,1,1125,2,33,7200,1,8,6
191,0,2,0,6,2,1479,2,9,9382,1,3,5
426,0,3,1,9,3,2332,2,1,12474,1,6,5
119,0,1,0,7,1,1367,2,108,8405,1,1,8
106.5,0,1,0,5,1,882,2,48,8339,1,3,7
109,0,1,0,5,1,1034,2,67,10134,1,1,6
129,0,1,0,6,1,1144,2,54,9571,1,3,6
169.5,0,1,1,8,2,1812,2,45,7590,1,6,5
67,0,1,0,6,1,1077,2,87,8967,1,3,2
241,0,2,0,7,2,1550,2,3,8125,1,6,5
245.5,0,2,2,4,2,1288,2,12,14963,5,3,5
164.99,0,2,1,6,2,1310,2,1,8767,1,3,5
108,0,1,0,4,1,672,2,68,10200,1,3,8
168,0,2,1,7,3,1572,2,12,10364,1,6,5
150,0,2,1,8,2,1620,2,33,9991,1,3,4
115,0,1,0,6,1,1639,2,72,10480,1,1,5
177,0,1,0,8,2,1680,2,93,15576,1,6,7
280,0,3,1,9,3,2172,2,1,14154,1,6,5
339.75,0,3,1,8,3,2078,2,1,10800,1,6,5
60,0,1,0,5,1,1276,2,51,9571,1,3,3
145,0,2,0,5,1,1056,1,51,34650,2,3,5
222,0,2,1,7,3,1478,2,1,4403,1,3,5
228,0,3,1,9,3,2097,2,15,11228,1,6,5
181.134,0,2,0,6,2,1340,2,0,8899,1,3,5
149.5,0,2,1,6,2,1400,2,28,7844,1,6,7
239,0,3,1,10,3,2624,1,89,22420,1,6,6
142,0,1,1,6,1,1056,2,42,8450,1,3,6
206.3,0,4,0,8,2,1344,2,11,7060,3,7,5
215,0,2,1,8,2,1602,2,32,16635,1,3,7
315,0,3,1,8,3,2630,2,10,9200,1,6,5
139,0,1,1,6,1,1196,2,52,9000,1,3,5
135,0,1,2,6,2,1389,2,63,3378,1,6,8
109.008,0,1,0,5,1,907,2,51,8593,1,3,6
175,0,2,1,6,2,1412,2,21,11457,1,3,5
85.4,0,1,0,4,2,987,2,37,1680,4,6,5
122.5,0,2,0,6,2,1365,2,36,1920,5,6,5
181,0,2,1,7,3,1604,2,11,10839,1,6,5
81,0,0,0,3,1,630,2,36,1890,4,7,7
212,0,2,1,6,3,1661,2,13,10667,1,6,6
116,0,2,0,6,1,1118,2,86,4400,1,1,8
119,0,1,0,4,1,904,2,83,6000,1,2,7
90.35,0,1,1,4,1,694,1,94,4280,1,3,6
110,0,2,0,7,1,1196,2,89,12354,1,1,8
555,0,3,2,10,2,2402,2,1,15431,1,3,5
162.9,0,2,1,8,2,1573,2,78,6240,1,1,7
172.5,0,3,1,6,2,1258,2,1,3922,5,3,5
210,0,2,1,8,3,1908,2,14,8750,1,6,5
127.5,0,2,1,7,1,1689,2,53,9855,1,3,5
190,0,2,1,6,3,1888,2,44,16492,1,3,6
119.5,0,1,1,7,2,1376,2,69,8600,1,1,6
120,0,1,0,6,2,1183,2,59,6000,1,1,7
110,0,1,0,5,1,813,2,76,5684,1,3,8
280,0,2,2,5,2,1533,2,31,70761,1,3,5
204,0,2,0,7,3,1756,2,11,9303,1,6,5
210,0,2,0,6,3,1590,2,1,9000,1,6,5
188,0,2,0,8,2,1728,2,30,9297,3,3,5
175.5,0,2,1,6,2,1242,2,34,9600,1,3,6
256,0,2,2,6,1,1663,2,54,53227,1,3,6
161,0,1,1,7,1,1666,2,83,5100,1,6,7
110,0,1,1,5,1,1203,2,59,7015,1,1,4
263.435,0,2,0,8,3,1935,2,0,8004,1,6,5
155,0,2,0,6,1,1135,2,73,7200,1,6,9
62.383,0,1,1,5,1,864,2,44,8281,1,3,5
188.7,0,1,1,6,2,1660,2,74,11988,1,6,7
124,0,0,0,5,2,1040,2,31,8430,1,3,5
167,0,2,1,5,1,1277,2,37,10628,1,3,5
250,0,3,1,7,2,1634,2,1,11428,1,3,5
187,0,2,0,7,3,1710,2,15,9291,1,6,5
212,0,2,0,4,2,1502,2,25,6820,5,3,5
190,0,2,1,8,3,1969,2,30,11952,1,6,6
148,0,2,0,5,1,1072,2,3,3675,5,8,5
251,0,2,0,6,2,1652,2,7,5330,5,3,5
132.5,0,2,0,5,1,970,2,44,8480,1,3,6
208.9,0,2,1,7,2,1493,2,11,13125,1,3,5
380,0,3,1,9,3,2643,2,1,13693,1,6,5
297,0,3,1,7,2,1718,2,2,10637,1,3,5
89.471,0,2,0,7,1,1131,2,70,5925,1,3,7
326,0,3,1,8,2,1850,2,2,16033,1,3,5
374,0,3,1,6,2,1792,2,3,11846,1,3,5
155,0,1,1,7,2,1826,2,94,2500,1,6,8
164,0,2,0,5,2,1216,2,8,4500,4,3,5
132.5,0,1,0,6,1,999,2,45,7758,1,3,7
147,0,1,1,5,1,1113,2,59,9600,1,3,7
156,0,2,0,6,2,1073,2,42,10289,1,3,7
175,0,2,1,7,2,1484,2,36,12243,1,3,6
160,0,2,1,10,2,2414,1,106,10800,2,1,4
86,0,1,0,3,1,630,2,39,1526,4,7,8
133,0,1,2,5,1,1578,2,65,9490,1,1,7
172.785,0,2,0,8,3,1456,2,0,15578,1,6,5
155,0,1,1,6,2,1269,2,48,7931,1,3,6
91.3,0,1,0,4,1,886,2,71,5784,1,3,8
184,0,1,0,8,2,1820,2,83,9120,1,1,6
120,0,1,0,5,1,912,2,49,7535,1,3,7
113,0,1,0,7,2,1218,2,34,1890,4,6,5
226.7,0,2,0,7,3,1768,2,3,9803,1,6,5
140,0,2,0,6,1,1214,2,42,9170,1,3,7
289,0,2,2,6,2,1801,2,51,15602,1,3,8
147,0,2,1,6,3,1322,2,35,2308,5,6,5
124.5,0,2,0,10,2,1960,2,57,7596,3,6,5
215,0,2,1,8,3,1911,2,13,9554,1,6,5
161,0,2,1,7,2,1378,2,80,9600,1,6,9
164.9,0,1,2,6,1,1363,2,58,14559,1,3,7
129.9,0,2,0,5,1,864,2,48,9100,1,3,5
134,0,2,0,5,2,1080,2,24,9187,1,3,5
96.5,0,1,0,5,1,789,1,81,10594,1,2,5
265,0,3,1,7,3,2344,2,13,10208,1,6,5
211,0,2,0,7,3,1796,2,9,9531,1,6,5
234,0,1,2,9,2,2080,2,83,10918,1,6,9
106.25,0,0,0,7,2,1294,1,108,10800,2,6,7
150,0,1,2,6,2,1244,2,50,11988,1,3,6
159,0,2,2,7,2,1664,2,59,5000,1,1,7
184.75,0,3,1,11,4,4676,2,0,40094,1,6,5
315.75,0,3,1,8,3,2398,2,11,11787,1,6,5
176,0,2,1,6,2,1266,2,1,7500,1,3,5
132,0,1,0,4,1,928,2,51,13300,1,3,7
446.261,0,3,1,11,3,2713,2,0,14948,1,6,5
86,0,0,0,5,1,605,2,87,9098,1,3,7
200.624,0,2,2,9,3,2515,2,50,32668,1,3,3
175,0,2,1,5,2,1509,2,20,10200,1,8,5
128,0,2,0,6,2,1362,2,88,6155,1,6,8
107.5,0,1,1,5,1,827,2,55,7200,1,3,7
178,0,2,1,6,3,1414,2,2,9056,1,6,5
107.5,0,0,0,5,1,1347,2,98,7000,2,6,7
111.25,0,2,0,5,1,864,2,36,12735,1,3,5
272,0,2,1,6,2,1601,2,9,11423,1,3,5
315,0,3,1,8,2,1838,2,3,14601,1,3,5
248,0,3,1,8,3,2285,2,7,11000,1,6,5
213.25,0,2,1,7,2,1680,2,11,10140,1,3,5
133,0,1,0,4,1,767,2,9,4058,5,7,5
179.665,0,2,1,7,3,1496,2,0,17104,1,6,5
229,0,3,0,9,3,2183,2,18,13837,1,1,5
210,0,2,1,6,2,1635,2,84,8737,1,1,7
129.5,0,2,0,5,1,768,2,37,7244,1,7,7
125,0,2,0,4,1,825,2,53,8235,1,3,7
263,0,2,1,8,3,2094,2,6,9375,1,6,5
140,0,2,0,4,2,1069,2,31,4043,5,3,6
112.5,0,1,0,5,1,928,2,51,6000,1,3,6
255.5,0,3,1,7,2,1717,2,3,11146,1,3,5
108,0,2,0,5,2,1126,2,60,8777,1,3,5
284,0,3,1,8,3,2046,2,5,10625,1,6,5
113,0,1,1,5,1,1048,2,84,6380,1,2,6
141,0,1,1,6,1,1092,2,49,14850,1,3,5
108,0,1,0,7,2,1336,2,86,11040,1,1,6
175,0,2,1,6,3,1446,2,12,21872,1,6,5
234,0,2,1,7,2,1557,2,3,3196,5,3,5
170,0,2,1,6,1,1389,2,32,10010,1,3,5
108,0,0,1,6,1,996,2,68,13907,1,3,6
268,0,2,1,9,3,2295,2,14,13346,1,6,5
128,0,1,0,6,2,1647,1,95,6858,1,6,4
325,0,3,1,11,3,2504,2,3,11198,1,6,5
214,0,2,0,7,2,1535,2,6,10171,1,3,5
316.6,0,2,1,5,2,2132,2,26,12327,1,1,8
135.96,0,2,2,4,1,943,2,27,7032,3,7,5
142.6,0,2,0,10,2,1728,2,43,13101,3,3,5
120,0,1,0,4,1,864,2,47,7332,1,3,6
224.5,0,2,0,6,3,1692,2,0,13159,1,6,5
170,0,2,1,8,3,1430,2,7,9967,1,8,5
118.5,0,1,0,6,1,1216,2,61,8480,1,1,5
145,0,1,1,6,2,1477,2,81,6292,1,1,7
164.5,0,2,2,6,1,1320,2,40,11777,1,8,6
146,0,2,0,5,2,1392,2,1,3604,5,6,5
131.5,0,1,0,7,2,1795,1,54,12150,1,1,5
181.9,0,2,2,7,1,1429,2,47,14585,1,3,6
253.293,0,3,1,8,3,2042,2,1,12704,1,3,5
118.5,0,0,0,5,1,816,2,17,11841,3,7,5
325,0,2,1,9,4,2775,2,115,13500,1,5,9
133,0,1,0,6,1,1573,2,74,6120,1,1,7
130,0,1,0,5,1,838,2,90,10267,1,3,7
143,0,1,2,5,1,1473,2,41,25095,1,3,8
79.5,0,1,0,4,1,935,2,78,9100,1,3,6
185.9,0,2,0,6,3,1582,2,4,8320,1,6,5
451.95,0,3,1,10,3,2296,2,1,13478,1,6,5
138,0,2,0,4,1,816,2,26,6600,1,3,8
140,0,2,0,4,1,848,2,6,4435,5,3,5
110,0,1,0,5,1,924,2,33,7990,1,3,6
319,0,3,1,7,2,1826,2,1,11302,1,3,5
114.504,0,1,0,7,1,1368,1,96,3600,1,6,7
